Title,VOD service name,Rating
John Wick 4,Canal+,7.39
Nimona,Netflix,7.35
Fenomen,Netflix,7.29
Dungeons & Dragons: Złodziejski honor,Canal+,7.14
Zaopiekujcie się Mayą,Netflix,7.08
Bill Russell: Legenda NBA,Netflix,7.04
Wham!,Netflix,6.93
Jesteśmy idealni,Netflix,6.79
Stan Lee,Disney+,6.76
Na planie serialu "The Last of Us",HBO Max,6.7
Ślicznotka: Historia Brooke Shields,Disney+,6.69
Głodni,Netflix,6.63
Magiczna słonica,Netflix,6.62
Siła ducha,Netflix,6.59
Black Clover: Mahō Tei no Ken,Netflix,6.5
Dusiciel z Bostonu,Disney+,6.22
Ulica Rye Lane,Disney+,6.2
Flamin' Hot: Smak sukcesu,Disney+,6.17
Mizantrop,Canal+,6.09
Creed III,Canal+,6.08
Gra fortuny,Canal+,6.07
Asteriks i Obeliks: Imperium smoka,Canal+,6.06
Egzorcysta papieża,Canal+,6.06
Przerwany lot,Canal+,6.06
Wielki George Foreman,Canal+,6.06
Martwe zło: Przebudzenie,HBO Max,6.02
Misja: Bal,Disney+,6
Masz ci los!,Canal+,5.98
Mumie,HBO Max,5.88
Najlepszy rzut Changa,Disney+,5.67
Ant-Man i Osa: Kwantomania,Disney+,5.57
Shazam! Gniew bogów,HBO Max,5.55
Biali nie potrafią skakać,Disney+,5.38
Magic Mike: Ostatni taniec,HBO Max,4.93
Quasi,Disney+,4.91
Domówka,HBO Max,4.25
